CustomerID,Probability of Churning
9497-QCMMS,0.751
9300-AGZNL,0.751
8603-IJWDN,0.75
8149-RSOUN,0.749
1069-XAIEM,0.748
0295-PPHDO,0.748
3988-RQIXO,0.748
6521-YYTYI,0.748
4910-GMJOT,0.748
3027-ZTDHO,0.747
0970-ETWGE,0.747
9282-IZGQK,0.747
9124-LHCJQ,0.747
1415-YFWLT,0.747
4614-NUVZD,0.747
7594-RQHXR,0.747
7577-SWIFR,0.747
3722-WPXTK,0.747
5192-EBGOV,0.746
7274-RTAPZ,0.746
9725-SCPZG,0.746
1455-ESIQH,0.746
0495-RVCBF,0.745
6457-USBER,0.745
2868-MZAGQ,0.745
2004-OCQXK,0.745
4988-IQIGL,0.743
3551-HUAZH,0.743
5240-IJOQT,0.743
1452-VOQCH,0.742
8816-VXNZD,0.742
1157-BQCUW,0.742
6567-HOOPW,0.741
9248-OJYKK,0.741
5275-SQEIZ,0.741
4912-PIGUY,0.74
2609-IAICY,0.74
9787-XVQIU,0.74
9300-RENDD,0.74
5834-ASPWA,0.74
1761-AEZZR,0.74
2514-GINMM,0.74
4415-IJZTP,0.74
6358-LYNGM,0.74
8372-JUXUI,0.74
8580-AECUZ,0.739
8740-CRYFY,0.738
5960-WPXQM,0.738
7439-DKZTW,0.738
2982-IHMFT,0.738
5178-LMXOP,0.738
5494-HECPR,0.738
8058-INTPH,0.738
3276-HDUEG,0.737
6894-LFHLY,0.737
7503-ZGUZJ,0.737
3707-GNWHM,0.735
4826-XTSOH,0.732
4844-JJWUY,0.732
1833-VGRUM,0.732
8473-VUVJN,0.732
0021-IKXGC,0.732
0723-DRCLG,0.73
6230-BSUXY,0.73
8380-PEFPE,0.73
2725-KXXWT,0.729
4102-OQUPX,0.729
8644-XLFBW,0.729
7180-PISOG,0.728
5597-GLBUC,0.728
7493-TPUWZ,0.728
6996-KNSML,0.728
3068-OMWZA,0.727
0318-QUUOB,0.726
1846-XWOQN,0.726
0328-GRPMV,0.725
6653-CBBOM,0.725
5167-ZFFMM,0.725
5376-DEQCP,0.725
4702-IOQDC,0.725
6140-QNRQQ,0.725
2202-CUYXZ,0.725
7465-ZZRVX,0.725
3244-DCJWY,0.725
9603-OAIHC,0.724
0137-OCGAB,0.724
3878-AVSOQ,0.724
2024-BASKD,0.724
9488-HGMJH,0.724
6618-RYATB,0.724
9605-WGJVW,0.724
1640-PLFMP,0.723
1031-IIDEO,0.723
2446-PLQVO,0.723
8821-XNHVZ,0.723
5875-YPQFJ,0.722
8000-REIQB,0.722
5419-JPRRN,0.722
0107-YHINA,0.722
9985-MWVIX,0.721
8309-IEYJD,0.721
5196-SGOAK,0.721
5542-TBBWB,0.72
9804-ICWBG,0.72
0968-GSIKN,0.719
0515-YPMCW,0.719
8042-JVNFH,0.719
7409-KIUTL,0.719
2619-WFQWU,0.719
9617-INGJY,0.719
6513-EECDB,0.719
8051-HJRLT,0.719
5054-IEXZT,0.719
8062-YBDOE,0.718
5539-TMZLF,0.718
8775-LHDJH,0.718
8375-DKEBR,0.718
3494-JCHRQ,0.718
4871-JTKJF,0.717
5550-VFRLC,0.717
6502-MJQAE,0.717
3066-RRJIO,0.717
4603-JANFB,0.717
2636-ALXXZ,0.717
1628-BIZYP,0.716
1820-TQVEV,0.716
4550-EVXNY,0.716
7254-IQWOZ,0.716
7665-TOALD,0.716
4510-HIMLV,0.716
5032-MIYKT,0.715
2254-DLXRI,0.714
3765-JXVKY,0.714
3178-FESZO,0.714
3422-LYEPQ,0.713
1363-TXLSL,0.713
7206-GZCDC,0.712
6457-GIRWB,0.712
1853-UDXBW,0.711
0488-GSLFR,0.711
3428-XZMAZ,0.711
4274-OWWYO,0.71
7216-EWTRS,0.707
0742-NXBGR,0.705
1062-LHZOD,0.705
2506-TNFCO,0.705
3296-SILRA,0.705
3746-EUBYR,0.704
5134-IKDAY,0.704
9507-EXLTT,0.703
9399-APLBT,0.703
7660-HDPJV,0.702
0679-IDSTG,0.702
3716-BDVDB,0.701
1977-STDKI,0.7
7908-QCBCA,0.697
9728-FTTVZ,0.697
7294-TMAOP,0.694
5564-NEMQO,0.693
5797-APWZC,0.693
1447-GIQMR,0.692
3049-NDXFL,0.692
9894-EZEWG,0.691
2867-UIMSS,0.691
8945-GRKHX,0.691
6857-VWJDT,0.691
5393-RXQSZ,0.691
4806-HIPDW,0.69
0235-KGSLC,0.689
7120-RFMVS,0.687
6960-HVYXR,0.686
9885-CSMWE,0.686
9019-QVLZD,0.685
4713-LZDRV,0.684
1086-LXKFY,0.684
2777-PHDEI,0.682
9223-UCPVT,0.681
0259-GBZSH,0.68
7851-WZEKY,0.679
6416-TVAIH,0.677
6910-HADCM,0.676
1448-PWKYE,0.676
3801-HMYNL,0.675
0754-UKWQP,0.675
5277-ZLOOR,0.675
4234-XTNEA,0.675
7817-BOQPW,0.674
2262-SLNVK,0.674
4424-TKOPW,0.674
0637-KVDLV,0.674
2545-EBUPK,0.673
3177-LASXD,0.673
4759-TRPLW,0.673
1915-IOFGU,0.673
7595-EUIVN,0.672
9878-TNQGW,0.672
6474-FVJLC,0.672
0519-XUZJU,0.671
0511-JTEOY,0.671
7153-OANIO,0.67
6086-ESGRL,0.67
5043-TRZWM,0.67
9940-RHLFB,0.67
9546-CQJSU,0.67
8086-OVPWV,0.67
6372-RFVNS,0.67
1981-INRFU,0.669
1143-NMNQJ,0.669
8040-MNRTF,0.669
5940-AHUHD,0.669
5159-YFPKQ,0.669
0151-ONTOV,0.669
4110-PFEUZ,0.668
7024-OHCCK,0.668
2720-WGKHP,0.668
5186-SAMNZ,0.668
5150-ITWWB,0.667
0684-AOSIH,0.666
2013-SGDXK,0.666
4695-WJZUE,0.665
1393-IMKZG,0.663
5919-TMRGD,0.663
3871-IKPYH,0.663
5884-GCYMI,0.662
8775-ERLNB,0.662
9444-JTXHZ,0.661
3158-MOERK,0.661
7235-NXZCP,0.661
6023-YEBUP,0.66
6356-ELRKD,0.66
2034-GDRCN,0.66
